id,two_option_condition,decoy_condition,decoy_option,scenario_topic
0,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 3500 mAh. (Price: $$850)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
1,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 3500 mAh. (Price: $$1000)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
2,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 3500 mAh. (Price: $$600)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
3,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 3500 mAh. (Price: $$850)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
4,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 3500 mAh. (Price: $$1000)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
5,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 3500 mAh. (Price: $$600)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
6,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 2500mAh. (Price: $$850)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
7,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 2500mAh. (Price: $$1000)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
8,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$800)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$800)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 2500mAh. (Price: $$600)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
9,"You are choosing between two smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Which phone do you prefer?
","You are choosing between three smartphone models:
Phone A: This model features an advanced 100MP Ultra HD camera and comes equipped with high-performance 8GB RAM RAM. However, its battery life is only 4000 mAh. (Price: $$900)
Phone B: This model also offers an advanced 100MP Ultra HD camera and delivers excellent battery life at 6000 mAh. On the downside, it has 4GB RAM RAM. (Price: $$900)
Phone C (Decoy): This model features the same advanced 100MP Ultra HD camera and 8GB RAM RAM—but its battery life is even lower at 2500mAh. (Price: $$850)
Which phone do you prefer?
",option_C,Smartphone Preference Decision
