id,risk_neutral_condition,risk_averse_condition,scenario_topic
0,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
1,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
2,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
3,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
4,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
5,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
6,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
7,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
8,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
9,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
10,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
11,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
12,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
13,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
14,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
15,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
16,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
17,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
18,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
19,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
20,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 10000 lives.
Treatment B: A 50% chance of saving 20000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 10000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 20000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
21,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 10000 lives.
Treatment B: A 50% chance of saving 20000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 10000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 20000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
22,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 10000 lives.
Treatment B: A 50% chance of saving 20000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 10000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 20000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
23,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 10000 lives.
Treatment B: A 50% chance of saving 20000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a remote village in Eastern Europe. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 10000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 20000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
24,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
25,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
26,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
27,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 50 lives.
Treatment B: A 50% chance of saving 100 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 50 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 100 will die.
Which treatment do you recommend?
",Healthcare Decision Making
28,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
29,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
30,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
31,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 100 lives.
Treatment B: A 50% chance of saving 200 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 100 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 200 will die.
Which treatment do you recommend?
",Healthcare Decision Making
32,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
33,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
34,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
35,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 200 lives.
Treatment B: A 50% chance of saving 400 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 200 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 400 will die.
Which treatment do you recommend?
",Healthcare Decision Making
36,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
37,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
38,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
39,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 500 lives.
Treatment B: A 50% chance of saving 1000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthcare workers. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 500 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 1000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
40,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects children and vulnerable groups. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
41,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects elderly and high-risk individuals. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
42,"A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance of saving 1000 lives.
Treatment B: A 50% chance of saving 2000 lives, but a 50% chance of saving none.
Which treatment do you recommend?""
","A new experimental treatment has been developed to combat a fast-spreading Stravian Flu in a bustling city in Southeast Asia. The disease primarily affects healthy adults. 
Health officials have two options to manage the outbreak:
Treatment A: A 100% chance that 1000 people die.
Treatment B: A 50% chance that no one dies, but a 50% chance that 2000 will die.
Which treatment do you recommend?
",Healthcare Decision Making
