id,baseline_condition,sunk_cost_condition,scenario_topic
0,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
1,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
2,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
3,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
4,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
5,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
6,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
7,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
8,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
9,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
10,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
11,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
12,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
13,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
14,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
15,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
16,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
17,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
18,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
19,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
20,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
21,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
22,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
23,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
24,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
25,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
26,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
27,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
28,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
29,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
30,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
31,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
32,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
33,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
34,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
35,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after one month, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after one month,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
36,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
37,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
38,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
39,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
40,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
41,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
42,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
43,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
44,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
45,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
46,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
47,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
